0,0.396553
1,0.380297
2,0.331688
3,0.113238
4,0.0363914
5,0.0485129
6,0.084882
7,0.242476
8,0.630321
9,0.89683
10,1.41366
11,1.72839
12,2.14394
13,2.43016
14,2.22791
15,2.01363
16,2.27551
17,1.92818
18,1.56888
19,1.36698
20,0.927279
21,0.681224
22,0.527953
23,0.298178
0,0.141005
1,0.0443076
2,0.00805446
3,0.00805299
4,0.0241546
5,0.104651
6,0.261579
7,0.301767
8,0.627561
9,0.44243
10,0.23726
11,0.31763
12,0.743681
13,0.707373
14,0.687152
15,0.78747
16,0.445884
17,0.91972
18,1.20465
19,1.22049
20,0.758656
21,0.610026
22,0.517625
23,0.30089
0,0.128357
1,0.0761979
2,0.0160388
3,0.0240538
4,0.0200412
5,0.0320601
6,0.0961628
7,0.368557
8,1.63818
9,1.42164
10,0.684664
11,0.896708
12,1.05664
13,0.95641
14,0.736183
15,1.02407
16,1.49583
17,2.7112
18,2.93061
19,2.04666
20,1.05112
21,0.435558
22,0.331603
23,0.28361
0,0.155758
1,0.0838544
2,0.0758546
3,0.0239498
4,0.0159636
5,0.151627
6,0.630337
7,1.75505
8,2.59223
9,1.3836
10,0.765429
11,1.06423
12,1.31511
13,1.39456
14,1.04773
15,1.09135
16,1.77612
17,3.47594
18,3.36784
19,2.34831
20,1.82658
21,1.56365
22,1.13772
23,0.528986
0,0.314153
1,0.111326
2,0.0636033
3,0.0119235
4,0.0635805
5,0.139058
6,0.631606
7,1.88257
8,2.51758
9,1.3737
10,0.813754
11,1.1073
12,1.38091
13,1.29734
14,1.07101
15,1.25326
16,1.70508
17,3.37783
18,3.44065
19,2.12823
20,1.76726
21,1.18457
22,0.994229
23,0.657421
0,0.277177
1,0.193989
2,0.0831235
3,0.0554058
4,0.0435254
5,0.134509
6,0.719893
7,2.0367
8,2.94577
9,1.42716
10,1.00793
11,1.31995
12,1.42245
13,1.56047
14,1.38245
15,1.54412
16,2.24273
17,3.20559
18,2.64059
19,1.9061
20,1.3297
21,1.01781
22,0.990018
23,0.686186
0,0.58355
1,0.40999
2,0.271965
3,0.130047
4,0.0551618
5,0.0472732
6,0.196937
7,0.374115
8,0.767786
9,1.14951
10,1.77906
11,2.30608
12,2.52601
13,2.76947
14,2.87125
15,2.64266
16,2.52424
17,2.4609
18,2.53515
19,1.69766
20,1.23766
21,1.01746
22,1.32757
23,0.93856
