0,0.469208,,
1,0.533513,,
2,0.465442,,
3,0.317065,,
4,0.0802907,,
5,0.112437,,
6,0.156649,,
7,0.261151,,
8,0.695247,,
9,1.32654,,
10,1.74507,,
11,1.85814,,
12,1.9753,,
13,1.57342,,
14,1.61811,,
15,1.21189,,
16,1.17999,,
17,0.906379,,
18,0.620531,,
19,0.217647,,
20,0.221736,,
21,0.185501,,
22,0.149247,,
23,0.056487,,
0,0.088789,,1 – 23
13,0.468285,,0 – 12
14,0.508791,,
15,0.500848,,
16,0.395938,,
17,0.501117,,
18,0.578055,,
19,0.464994,,
20,0.327606,,
21,0.258918,,
22,0.267081,,
23,0.157863,,
0,0.0647818,,
1,0.0323996,,
2,0.0283573,,
3,0.0121564,,
4,0.0202661,,
5,0.0973037,,
6,0.470428,,
7,1.36705,,
8,2.51978,,
9,1.20544,,
10,0.682048,,
11,0.767512,,
12,0.978945,,
13,0.865443,,
14,0.910385,,
15,0.935024,,
16,1.72417,,
17,2.94083,,
18,2.37609,,
19,1.6686,,
20,1.09099,,
21,0.781819,,
22,0.672059,,
23,0.411494,,
0,0.244519,,
1,0.122293,,
2,0.0815509,,
3,0.06118,,
4,0.0407978,,
5,0.163236,,
6,0.60414,,
7,1.71492,,
8,2.7773,,
9,1.35227,,
10,0.596632,,
11,0.6949,,
12,0.903619,,
13,1.0143,,
14,0.756841,,
15,0.875723,,
16,1.40809,,
17,2.82106,,
18,2.77679,,
19,1.85171,,
20,1.21296,,
21,1.09442,,
22,0.828222,,
23,0.49215,,
0,0.205119,,
1,0.0984847,,
2,0.0410467,,
3,0.0123175,,
4,0.0287487,,
5,0.106811,,
6,0.501329,,
7,1.46741,,
8,2.82464,,
9,1.57105,,
10,0.839227,,
11,0.909417,,
12,1.20192,,
13,1.21049,,
14,1.07904,,
15,1.26061,,
16,1.73485,,
17,2.6298,,
18,2.15226,,
19,1.54248,,
20,0.911721,,
21,0.643749,,
22,0.615037,,
23,0.491343,,
0,0.44605,,
1,0.367683,,
2,0.190092,,
3,0.115741,,
4,0.0661564,,
5,0.0372236,,
6,0.0868796,,
7,0.24416,,
8,0.587806,,
9,0.906803,,
10,1.35852,,
11,1.40862,,
12,1.63281,,
13,1.86127,,
14,1.88668,,
15,1.85819,,
16,1.65957,,
17,1.70155,,
18,1.23294,,
19,0.992446,,
20,0.751817,,
21,0.689709,,
22,0.606786,,
23,0.615274,,
