0,0.332404,,
1,0.307532,,
2,0.401691,,
3,0.123952,,
4,0.0594844,,
5,0.0892076,,
6,0.480627,,
7,0.416125,,
8,0.619102,,
9,1.36173,,
10,1.78225,,
11,2.23229,,
12,2.20213,,
13,2.29566,,
14,2.77498,,
15,2.83373,,
16,2.52658,,
17,2.74355,,
18,2.13506,,
19,1.70966,,
20,1.14612,,
21,0.661842,,
22,0.335789,,
23,0.311032,,
0,0.0839115,,
1,0.0246746,,
2,0.0246693,,
4,0.0197313,,3
5,0.118362,,
6,0.542379,,
7,1.50848,,
8,2.90296,,
9,1.56204,,
10,1.00501,,
11,1.02942,,
12,1.38376,,
13,1.38347,,
14,1.31918,,
15,1.5945,,
16,1.94349,,
17,3.58609,,
18,3.03941,,
19,2.42904,,
20,1.61738,,
21,1.16977,,
22,0.604417,,
23,0.324252,,
0,0.162092,,
1,0.054019,,
2,0.0245489,,
3,0.0147262,,
4,0.00490769,,
5,0.132479,,
6,0.49056,,
7,1.67245,,
8,2.96172,,
9,2.00021,,
10,1.07341,,
11,1.2643,,
12,1.62168,,
13,1.68991,,
14,1.52305,,
15,1.5472,,
16,2.37416,,
17,3.70486,,
18,3.91447,,
19,2.72976,,
20,1.85369,,
21,1.18826,,
22,0.772451,,
23,0.386143,,
0,0.200361,,
1,0.0537439,,
2,0.0244239,,
3,0.0146512,,
4,0.00488269,,
5,0.131805,,
6,0.614958,,
7,1.78593,,
8,3.33692,,
9,1.77053,,
10,0.81437,,
11,1.03847,,
12,1.37945,,
13,1.22321,,
14,1.25706,,
15,1.30551,,
16,1.8994,,
17,3.6227,,
18,3.69495,,
19,2.40437,,
20,1.81019,,
21,1.44979,,
22,0.880392,,
23,0.637055,,
0,0.218789,,
1,0.0631923,,
2,0.0874784,,
3,0.0242944,,
4,0.00485785,,
5,0.140848,,
6,0.611829,,
7,1.71858,,
8,3.09667,,
9,1.70329,,
10,1.19351,,
11,1.29997,,
12,1.33849,,
13,1.41093,,
14,1.39124,,
15,1.30371,,
16,1.94788,,
17,3.98214,,
18,3.38071,,
19,2.35825,,
20,1.51051,,
21,1.13264,,
22,0.721057,,
23,0.658006,,
0,0.295073,,
1,0.183777,,
2,0.0531872,,
3,0.0386734,,
4,0.0241657,,
5,0.111139,,
6,0.386488,,
7,1.1882,,
8,2.45316,,
9,1.81534,,
10,1.14883,,
11,1.40436,,
12,1.62601,,
13,1.98263,,
14,2.36322,,
15,2.58935,,
16,2.58398,,
17,3.15699,,
18,2.3323,,
19,1.98493,,
20,1.21383,,
21,0.914992,,
22,0.760727,,
23,0.543949,,
0,0.452392,,
1,0.332005,,
2,0.173183,,
3,0.134669,,
4,0.0336602,,
5,0.00961517,,
6,0.0913247,,
7,0.259499,,
8,0.590957,,
9,1.32577,,
10,1.7433,,
11,2.37673,,
12,2.83227,,
13,3.08604,,
14,2.77349,,
15,3.00317,,
16,2.94978,,
17,2.71897,,
18,2.47868,,
19,1.97965,,
20,0.996803,,
21,1.12117,,
22,0.871833,,
23,0.565135,,
